;ANÁLISE DE VENDAS;;;;;;;
;CIDADE;ESTADO;código do vendedor;Nome Vendedor;email vendedor;Código Produto;Preço Unitário - Qtde;DATA DA VENDA
;;;;;;;;
MATRIZ;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1015;3000-1;10/06/2023
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1021;80-2;14/08/2023
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1014;2400-1;13/09/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1026;1500-3;03/01/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1021;80-3;05/01/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1016;300-2;12/01/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1028;310-2;11/08/2023
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1017;200-2;12/01/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1014;2400-2;14/01/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1030;600-3;16/11/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1027;2800-1;17/01/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1018;240-1;04/02/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1028;310-1;17/04/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1026;1500-1;06/02/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1013;3500-2;12/02/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1016;300-1;05/09/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1028;310-2;18/02/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1013;3500-1;20/02/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1021;80-3;22/02/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1021;80-3;19/06/2023
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1026;1500-3;22/02/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1028;310-3;25/02/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1011;1500-3;05/05/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1027;2800-2;27/02/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1014;2400-3;28/02/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1011;1500-2;06/03/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1028;310-3;06/03/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1018;240-3;20/03/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1020;250-3;21/03/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1011;1500-3;24/03/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1021;80-1;04/02/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1026;1500-2;24/03/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1017;200-3;27/03/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1030;600-3;27/03/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1021;80-2;29/03/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1030;600-1;05/04/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1030;600-3;07/04/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1019;70-1;12/11/2023
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1012;1000-1;23/04/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1028;310-2;23/04/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1022;180-2;04/07/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1022;180-2;27/04/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1022;180-1;28/04/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1012;1000-2;05/05/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1012;1000-3;02/10/2023
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1025;380-1;05/05/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1018;240-2;24/02/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1030;600-1;20/08/2023
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1030;600-1;07/05/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1016;300-1;10/05/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1018;240-3;12/05/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1026;1500-1;12/05/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1016;300-3;26/10/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1030;600-1;15/05/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1018;240-2;17/05/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1023;600-1;24/12/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1028;310-2;19/05/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1030;600-2;19/05/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1018;240-2;29/05/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1028;310-2;02/06/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1011;1500-1;03/06/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1023;600-3;07/06/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1027;2800-3;28/06/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1017;200-3;08/06/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1017;200-3;09/06/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1030;600-1;09/06/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1024;1200-1;18/06/2022
;São Paulo;SP;3788;Lucas Mathias;lucas@gmail.com;1018;240-3;22/06/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1015;3000-1;08/07/2022
;São Paulo;SP;3624;João Antônio;joao@gmail.com;1019;70-3;08/07/2022
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1011;1500-1;28/04/2023
;São Paulo;SP;3458;Eduardo Fernandes;eduardo@gmail.com;1025;380-2;30/07/2023
